sentence,label,fold
May I please know about the offers,OFFERS,4
Current state of my order,ORDER_STATUS,2
I want refund,RETURN_EXCHANGE,0
Can pay later on delivery ,COD,1
Can I cancel my order here,CANCEL_ORDER,4
How to enroll for trial,100_NIGHT_TRIAL_OFFER,4
How Much Cost,MATTRESS_COST,0
Status of my order,ORDER_STATUS,3
Exchange,RETURN_EXCHANGE,2
How long is the warranty you offer on your mattresses and what does it cover,WARRANTY,0
EMI,EMI,0
How about Paisa finance,EMI,2
100 night trial,100_NIGHT_TRIAL_OFFER,3
Where was this shop,DISTRIBUTORS,3
Features of Ortho mattress,ORTHO_FEATURES,0
Ergo,ERGO_FEATURES,2
Do you deliver to my pincode,CHECK_PINCODE,2
Head office,DISTRIBUTORS,3
Interested in buying,LEAD_GEN,4
What are the key features of the SOF Ergo mattress,ERGO_FEATURES,4
King Size,WHAT_SIZE_TO_ORDER,0
Dealership,DISTRIBUTORS,4
Do you deliver to,CHECK_PINCODE,3
Is delivery possible on this pincode,CHECK_PINCODE,2
What is the 100-night offer,100_NIGHT_TRIAL_OFFER,2
Show more mattress,PRODUCT_VARIANTS,4
I want to cancel my order,CANCEL_ORDER,3
Order #,ORDER_STATUS,1
What is my order status?,ORDER_STATUS,1
How can I cancel my order,CANCEL_ORDER,0
I am cervical and Lombard section problem,ORTHO_FEATURES,0
Share warranty information,WARRANTY,2
Order related,ORDER_STATUS,0
It's delayed,DELAY_IN_DELIVERY,2
Can I visit SOF mattress showroom,DISTRIBUTORS,4
What are the SOF mattress products,PRODUCT_VARIANTS,1
Check pincode,CHECK_PINCODE,3
Share the size structure,WHAT_SIZE_TO_ORDER,2
Which mattress to buy?,COMPARISON,3
Present status,ORDER_STATUS,2
Tell me about SOF Ergo mattress,ERGO_FEATURES,0
Tell me about SOF Mattress,ABOUT_SOF_MATTRESS,3
Want to know the price,MATTRESS_COST,0
What are the available sizes?,WHAT_SIZE_TO_ORDER,2
ortho,ORTHO_FEATURES,2
How to get in touch?,LEAD_GEN,3
Is it possible to COD,COD,0
Tell me about the latest offers,OFFERS,0
Want to know about warranty,WARRANTY,1
Cancel the order,CANCEL_ORDER,1
When can we expect,ORDER_STATUS,4
Status of my order,ORDER_STATUS,4
Is it orthopaedic,ORTHO_FEATURES,1
What are your products,PRODUCT_VARIANTS,3
I did not receive my order yet,DELAY_IN_DELIVERY,1
Custom size,SIZE_CUSTOMIZATION,2
 Can you give me 100 night trial ,100_NIGHT_TRIAL_OFFER,4
Feet,WHAT_SIZE_TO_ORDER,3
Need pair of Pillows,PILLOWS,2
About SOF Mattress,ABOUT_SOF_MATTRESS,0
Want to talk to an live agent,LEAD_GEN,2
